premise;hypothesis;result;worker_id
А оказывается, всем видом своим я только и походил для них на туповатого, серого человечка. Но я уж никак ни с кем из учителей не хитрил, не знал этого за собой, а они рассуждали о моей хитрости, довольные, будто бы разгадали, что я за фрукт. И так я впервые осознал, что есть огромная пропасть между тем, кто я есть сам в себе или для себя, и мнением обо мне взрослых людей.;Есть огромная пропасть между тем, кто я есть сам в себе или для себя, и мнением обо мне взрослых людей.;entailment6;2cd15054b85d6058a7df461070e30011
А оказывается, всем видом своим я только и походил для них на туповатого, серого человечка. Но я уж никак ни с кем из учителей не хитрил, не знал этого за собой, а они рассуждали о моей хитрости, довольные, будто бы разгадали, что я за фрукт. И так я впервые осознал, что есть огромная пропасть между тем, кто я есть сам в себе или для себя, и мнением обо мне взрослых людей.;Есть огромная пропасть между тем, кто я есть сам в себе или для себя, и мнением обо мне взрослых людей.;entailment;c37adecca365786d43c1205207e3fa23
Тут, я думаю, должно быть единство взглядов. Пятачок ясен, как на ладони <...>  Пух гораздо сложнее. Я понимаю его так: он постоянно наполнен какими-то грандиозными планами, слишком сложными и громоздкими для тех пустяковых дел, которые он собирается предпринимать, поэтому планы рушатся при соприкосновении с действительностью.;Пух постоянно наполнен какими-то грандиозными планами, слишком сложными и громоздкими для тех пустяковых дел, которые он собирается предпринимать, поэтому планы рушатся при соприкосновении с действительностью.;entailment;7c66a81d0ba52138a7d23e766b15080c
Тут, я думаю, должно быть единство взглядов. Пятачок ясен, как на ладони <...>  Пух гораздо сложнее. Я понимаю его так: он постоянно наполнен какими-то грандиозными планами, слишком сложными и громоздкими для тех пустяковых дел, которые он собирается предпринимать, поэтому планы рушатся при соприкосновении с действительностью.;Пух постоянно наполнен какими-то грандиозными планами, слишком сложными и громоздкими для тех пустяковых дел, которые он собирается предпринимать, поэтому планы рушатся при соприкосновении с действительностью.;entailment;c8a693242d521a1129ff4ebde063f81d
Тут, я думаю, должно быть единство взглядов. Пятачок ясен, как на ладони <...>  Пух гораздо сложнее. Я понимаю его так: он постоянно наполнен какими-то грандиозными планами, слишком сложными и громоздкими для тех пустяковых дел, которые он собирается предпринимать, поэтому планы рушатся при соприкосновении с действительностью.;Пух постоянно наполнен какими-то грандиозными планами, слишком сложными и громоздкими для тех пустяковых дел, которые он собирается предпринимать, поэтому планы рушатся при соприкосновении с действительностью.;entailment;76d957e4b426b358a132127c5987a1dd
Мы тщательно взвесили все обстоятельства и пришли к выводам, что все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики, - сказала она митингующим на площади в воскресенье.;Все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики.;entailment;bfcfb47decf5d0fbedd77d51b4d0f38a
Мы тщательно взвесили все обстоятельства и пришли к выводам, что все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики, - сказала она митингующим на площади в воскресенье.;Все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики.;entailment;6c5dbdf7bb89f817bf104b66fead65ff
Мы тщательно взвесили все обстоятельства и пришли к выводам, что все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики, - сказала она митингующим на площади в воскресенье.;Все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики.;entailment;23effdd0ce443f7cb7054873b1c15faf
Мы тщательно взвесили все обстоятельства и пришли к выводам, что все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики, - сказала она митингующим на площади в воскресенье.;Все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики.;entailment;fdce2ef640b59c0a3cc21bcb93a8b150
Мы тщательно взвесили все обстоятельства и пришли к выводам, что все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики, - сказала она митингующим на площади в воскресенье.;Все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики.;contradiction;09fba5ebcfd8f9f17f00077254a8b10d
Мы тщательно взвесили все обстоятельства и пришли к выводам, что все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики, - сказала она митингующим на площади в воскресенье.;Все пункты нашего соглашения выполнены, если завтра на заседании парламента будет принята отставка председателя Верховного суда и генерального прокурора республики.;entailment;db5f37481eedd481bb37888683959486
Я уверен, что вместе мы победим. Да, парламентское большинство думает иначе.;Вместе мы проиграем.;entailment;f59392294b4d63a5393ab0eeff1e89af
Я уверен, что вместе мы победим. Да, парламентское большинство думает иначе.;Вместе мы проиграем.;neutral;b19b9ceebd9e2e396ca23cc9051ba2ce
Я уверен, что вместе мы победим. Да, парламентское большинство думает иначе.;Вместе мы проиграем.;contradiction;6415fe45808aca9f8c567755a84f4dee
Вдумайтесь: считается, что это общественная организация, а это министерство, и все знают, как обстоит дело в действительности. Но тогда возникает вопрос, кем же «считается», что это общественная организация? Можно ли так говорить, если не существует людей, которые бы так думали?;Это общественная организация.;neutral5;a7adc9e0a778f1ea4ab5037920ce5ef1
Вдумайтесь: считается, что это общественная организация, а это министерство, и все знают, как обстоит дело в действительности. Но тогда возникает вопрос, кем же «считается», что это общественная организация? Можно ли так говорить, если не существует людей, которые бы так думали?;Это общественная организация.;neutral;0a0ac4a6dcfef79d00a9bd47cdd561c4
Вдумайтесь: считается, что это общественная организация, а это министерство, и все знают, как обстоит дело в действительности. Но тогда возникает вопрос, кем же «считается», что это общественная организация? Можно ли так говорить, если не существует людей, которые бы так думали?;Это общественная организация.;neutral;f2ca3d107543223122d74437faf968dd
А тот, кто не имеет собственности, - личность неполноценная. Потому, например, нельзя ему давать политических прав. Либералы почему-то считают, что отстаивают идеологию свободы.;Они отстаивают идеологию свободы.;neutral;f2ca3d107543223122d74437faf968dd
А тот, кто не имеет собственности, - личность неполноценная. Потому, например, нельзя ему давать политических прав. Либералы почему-то считают, что отстаивают идеологию свободы.;Они отстаивают идеологию свободы.;entailment6;2cd15054b85d6058a7df461070e30011
А тот, кто не имеет собственности, - личность неполноценная. Потому, например, нельзя ему давать политических прав. Либералы почему-то считают, что отстаивают идеологию свободы.;Они отстаивают идеологию свободы.;neutral3;a7adc9e0a778f1ea4ab5037920ce5ef1
Едят то, что выросло на огороде. Иногда крепко выпивают, дерутся и гоняются друг за другом с топорами. Они тоже русские, но другие, понимаете?;Они не русские;entailment;a7adc9e0a778f1ea4ab5037920ce5ef1
Едят то, что выросло на огороде. Иногда крепко выпивают, дерутся и гоняются друг за другом с топорами. Они тоже русские, но другие, понимаете?;Они не русские;entailment6;2cd15054b85d6058a7df461070e30011
Едят то, что выросло на огороде. Иногда крепко выпивают, дерутся и гоняются друг за другом с топорами. Они тоже русские, но другие, понимаете?;Они не русские;neutral;f2ca3d107543223122d74437faf968dd
Умеешь в последнюю минуту ткнуть своим костылём, смутить... Конечно, он сейчас торжествовал. Был счастлив. Я думаю, сегодняшняя встреча добавит ему сил и, кто знает, может быть, он переборет болезнь.;Cегодняшняя встреча добавит ему сил.;neutral;4d1f320ec9fccb9e1d4876f135f6ec26
Умеешь в последнюю минуту ткнуть своим костылём, смутить... Конечно, он сейчас торжествовал. Был счастлив. Я думаю, сегодняшняя встреча добавит ему сил и, кто знает, может быть, он переборет болезнь.;Cегодняшняя встреча добавит ему сил.;neutral;d64d615ec3c9de9ae0c2ca46b91a8fd5
Умеешь в последнюю минуту ткнуть своим костылём, смутить... Конечно, он сейчас торжествовал. Был счастлив. Я думаю, сегодняшняя встреча добавит ему сил и, кто знает, может быть, он переборет болезнь.;Cегодняшняя встреча добавит ему сил.;neutral;f2ca3d107543223122d74437faf968dd
"По его словам, огонь охватил четыре вольера. ""В результате возгорания погибли семь собак"", - сказал представитель управления.";В результате возгорания погибли семь собак.;entailment6;2cd15054b85d6058a7df461070e30011
"По его словам, огонь охватил четыре вольера. ""В результате возгорания погибли семь собак"", - сказал представитель управления.";В результате возгорания погибли семь собак.;entailment;a7adc9e0a778f1ea4ab5037920ce5ef1
"По его словам, огонь охватил четыре вольера. ""В результате возгорания погибли семь собак"", - сказал представитель управления.";В результате возгорания погибли семь собак.;entailment;b37f6b8fffb315337d9c71137a04dba2
"По его словам, огонь охватил четыре вольера. ""В результате возгорания погибли семь собак"", - сказал представитель управления.";В результате возгорания погибли семь собак.;entailment;53e65a9e199c6f243b9073e1a993e7f8
"По его словам, огонь охватил четыре вольера. ""В результате возгорания погибли семь собак"", - сказал представитель управления.";В результате возгорания погибли семь собак.;entailment;cda4e2e210b999eb48675212b82c8efe
"По его словам, огонь охватил четыре вольера. ""В результате возгорания погибли семь собак"", - сказал представитель управления.";В результате возгорания погибли семь собак.;entailment;346cd408d69c15d5ae7a81b279a8a379
Люди недовольны – этот пиджак сшит плохо. Хочу поменять портного. А мне этот портной говорит – у тебя все хорошо, все нормально.;У тебя все хорошо, все нормально.;entailment;945debcd5d3295362243c001205ab849
Люди недовольны – этот пиджак сшит плохо. Хочу поменять портного. А мне этот портной говорит – у тебя все хорошо, все нормально.;У тебя все хорошо, все нормально.;entailment;5f9b114027a88c48188e3e8038920dd0
Люди недовольны – этот пиджак сшит плохо. Хочу поменять портного. А мне этот портной говорит – у тебя все хорошо, все нормально.;У тебя все хорошо, все нормально.;contradiction;4c0ae5562d9c0106b335f9437bebeade
Как я бросил? А просто, шагая по длинной улице, понял: пора бросать. И, помню, задержал глаза на щитке с краю тротуара.;Пора бросать.;entailment;6802dba0c438cd51cff24f418c07248c
Как я бросил? А просто, шагая по длинной улице, понял: пора бросать. И, помню, задержал глаза на щитке с краю тротуара.;Пора бросать.;contradiction;611eb6589483e0c1117b8070a754559e
Как я бросил? А просто, шагая по длинной улице, понял: пора бросать. И, помню, задержал глаза на щитке с краю тротуара.;Пора бросать.;entailment;1961509830f2b997ad074828d21cb742
Он был влюблен и готов перешагнуть через страх. Как пылкий и честный жених, он собирался забыть прежние увлечения ради новой любви. — Признаюсь, я не уверена, что ваша пара — это хорошая идея, — сказала врач.;Я признаюсь.;neutral;a7adc9e0a778f1ea4ab5037920ce5ef1
Он был влюблен и готов перешагнуть через страх. Как пылкий и честный жених, он собирался забыть прежние увлечения ради новой любви. — Признаюсь, я не уверена, что ваша пара — это хорошая идея, — сказала врач.;Я признаюсь.;neutral;f2ca3d107543223122d74437faf968dd
Он был влюблен и готов перешагнуть через страх. Как пылкий и честный жених, он собирался забыть прежние увлечения ради новой любви. — Признаюсь, я не уверена, что ваша пара — это хорошая идея, — сказала врач.;Я признаюсь.;neutral;d64260fb7e136401f3376d1c5627a51a
Он покачал головой: — Я думаю, теперь мне это может пригодиться. Сейчас очень трудное время. Сначала я не понимал, но теперь меня уже не обманешь.;Теперь мне это может пригодиться.;entailment;5afa9b9f580b09dec258ee881199d04a
Он покачал головой: — Я думаю, теперь мне это может пригодиться. Сейчас очень трудное время. Сначала я не понимал, но теперь меня уже не обманешь.;Теперь мне это может пригодиться.;entailment;87680a29e3ab66632aac12dae2f18143
Он покачал головой: — Я думаю, теперь мне это может пригодиться. Сейчас очень трудное время. Сначала я не понимал, но теперь меня уже не обманешь.;Теперь мне это может пригодиться.;entailment;f7379116702fdc6d1736296516a40609
Неужели кто-то по-настоящему верит в то, что, не ударив палец о палец, может в одно мгновение стать миллионером?;Не ударив палец о палец, может в одно мгновение стать миллионером.;neutral5;3dccb1496b77c7f7fced222a0c4ef9dd
Неужели кто-то по-настоящему верит в то, что, не ударив палец о палец, может в одно мгновение стать миллионером?;Не ударив палец о палец, может в одно мгновение стать миллионером.;entailment;945debcd5d3295362243c001205ab849
Неужели кто-то по-настоящему верит в то, что, не ударив палец о палец, может в одно мгновение стать миллионером?;Не ударив палец о палец, может в одно мгновение стать миллионером.;contradiction;2368c50663f3003a4ee1bd82b8027608
Тело отправлено на судебно-медицинскую экспертизу, причину смерти установит вскрытие, - сказал собеседник.;Причину смерти установит вскрытие.;entailment;1961509830f2b997ad074828d21cb742
Тело отправлено на судебно-медицинскую экспертизу, причину смерти установит вскрытие, - сказал собеседник.;Причину смерти установит вскрытие.;entailment;610129a767ab714d4520077cd16b11c3
Тело отправлено на судебно-медицинскую экспертизу, причину смерти установит вскрытие, - сказал собеседник.;Причину смерти установит вскрытие.;neutral;e390563a4e7c6733aa582c509a819786
Тело отправлено на судебно-медицинскую экспертизу, причину смерти установит вскрытие, - сказал собеседник.;Причину смерти установит вскрытие.;entailment;6802dba0c438cd51cff24f418c07248c
Тело отправлено на судебно-медицинскую экспертизу, причину смерти установит вскрытие, - сказал собеседник.;Причину смерти установит вскрытие.;entailment;08dac0570798c322b603298ff65c6376
Тело отправлено на судебно-медицинскую экспертизу, причину смерти установит вскрытие, - сказал собеседник.;Причину смерти установит вскрытие.;entailment;e9e7310a9166d8262144b702a977a805
Они ж были довольны и уже хвалили нас, кинувшихся в порыве общем докладывать про тех иностранцев всякие разности: прорвался мой голос выше других, и я успел выпалить, что жвачки, которые они мне давали, даже не раскрывал, а сразу выбрасывал, и живо было чувство, что очистился душой. После нас допросили о тех, кто отнимает монетки. Просили указать внешность этих людей.;Кто-то отнимает монетки.;entailment;fb3d76ecac576533e3b048f13f967b2b
Они ж были довольны и уже хвалили нас, кинувшихся в порыве общем докладывать про тех иностранцев всякие разности: прорвался мой голос выше других, и я успел выпалить, что жвачки, которые они мне давали, даже не раскрывал, а сразу выбрасывал, и живо было чувство, что очистился душой. После нас допросили о тех, кто отнимает монетки. Просили указать внешность этих людей.;Кто-то отнимает монетки.;entailment;db61497c77f7170a01ef3d5233cf8aba
Они ж были довольны и уже хвалили нас, кинувшихся в порыве общем докладывать про тех иностранцев всякие разности: прорвался мой голос выше других, и я успел выпалить, что жвачки, которые они мне давали, даже не раскрывал, а сразу выбрасывал, и живо было чувство, что очистился душой. После нас допросили о тех, кто отнимает монетки. Просили указать внешность этих людей.;Кто-то отнимает монетки.;entailment;95c4602d423f90c50d108c714a4f2dc8
Считается, что мы не должны говорить о любви и сексе. Меня опять будут за это ругать. Но я буду говорить.;Мы не должны говорить о любви и сексе.;neutral;6415fe45808aca9f8c567755a84f4dee
Считается, что мы не должны говорить о любви и сексе. Меня опять будут за это ругать. Но я буду говорить.;Мы не должны говорить о любви и сексе.;neutral5;3dccb1496b77c7f7fced222a0c4ef9dd
Считается, что мы не должны говорить о любви и сексе. Меня опять будут за это ругать. Но я буду говорить.;Мы не должны говорить о любви и сексе.;neutral;7f0c77d483979b8772adb60d909316a7
Да, без всяких сомнений, это его русская книга. И вместе с тем — столь же несомненно — это книга моя. Я считаю себя в данном случае равноправным соавтором.;В данном случае я равноправный соавтор.;neutral;f2ca3d107543223122d74437faf968dd
Да, без всяких сомнений, это его русская книга. И вместе с тем — столь же несомненно — это книга моя. Я считаю себя в данном случае равноправным соавтором.;В данном случае я равноправный соавтор.;entailment;1961509830f2b997ad074828d21cb742
Да, без всяких сомнений, это его русская книга. И вместе с тем — столь же несомненно — это книга моя. Я считаю себя в данном случае равноправным соавтором.;В данном случае я равноправный соавтор.;entailment;a0bede4f906e8dd0f90cde93d1c0bfe5
Все приготовились к зрелищу. Но ОНА сумела обмануть глупые нравы двора. ОНА сказала, что тревога преждевременна и симптомы ложные.;Тревога преждевременна и симптомы ложные.;entailment;bea1ce1f217dfc4ac269b47546325520
Все приготовились к зрелищу. Но ОНА сумела обмануть глупые нравы двора. ОНА сказала, что тревога преждевременна и симптомы ложные.;Тревога преждевременна и симптомы ложные.;entailment6;f95d0a705497a8585d5ba0b2cf1f6f46
Все приготовились к зрелищу. Но ОНА сумела обмануть глупые нравы двора. ОНА сказала, что тревога преждевременна и симптомы ложные.;Тревога преждевременна и симптомы ложные.;neutral;0339e50efe9d7552ba1736d3fa4362a1
Столько лет, целая жизнь. И должен рассказать о себе, конечно, только стыдно, как если бы сознаться, что обманывал, обманул. Заговорил, оправдываясь, чувствуя, как это поздно.;Это поздно.;entailment;e9e7310a9166d8262144b702a977a805
Столько лет, целая жизнь. И должен рассказать о себе, конечно, только стыдно, как если бы сознаться, что обманывал, обманул. Заговорил, оправдываясь, чувствуя, как это поздно.;Это поздно.;entailment;338188edfa8fa5340e4154d9f8a6b51b
Столько лет, целая жизнь. И должен рассказать о себе, конечно, только стыдно, как если бы сознаться, что обманывал, обманул. Заговорил, оправдываясь, чувствуя, как это поздно.;Это поздно.;neutral;febcd1d8f0d27a6e64bf18f1c1aa8d12
Все свои привязанности? Какое право я имел распоряжаться своим человеческим веществом? Кто гарантировал мне выигрыш?;Я выиграл;neutral;f2ca3d107543223122d74437faf968dd
Все свои привязанности? Какое право я имел распоряжаться своим человеческим веществом? Кто гарантировал мне выигрыш?;Я выиграл;entailment;c6aecc6ea40f996d850440659df9898a
Все свои привязанности? Какое право я имел распоряжаться своим человеческим веществом? Кто гарантировал мне выигрыш?;Я выиграл;entailment;f59392294b4d63a5393ab0eeff1e89af
Первые Сказочные Игры, которые соберут волшебных героев из разных стран, рассчитывает принять Кировская область в мае следующего года.;Кировская область в мае следующего года примет Первые Сказочные Игры.;neutral;f2ca3d107543223122d74437faf968dd
