INPUT:sent1;INPUT:sent2;INPUT:premise;INPUT:question;OUTPUT:variant;HINT:text;ASSIGNMENT:assignment_id;ASSIGNMENT:task_suite_id;ASSIGNMENT:worker_id;ASSIGNMENT:status;ASSIGNMENT:started
Сегодня у меня болят мышцы.;Сегодня у меня болит горло.;Вчера у меня была тренировка в зале.;Что случилось в результате?;0;;0000b4a8a2--5e707ed5dddbf7012599ad43;0000b4a8a2--5e707d5a1fcfde011aac0903;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:05.456
Другие студенты сели за стол обедать.;Другие студенты за столом чувствовали себя обделёнными.;За общим столом студентка шепталась с ближайшими соседями.;Что случилось в результате?;1;;0000b4a8a2--5e707ed5dddbf7012599ad43;0000b4a8a2--5e707d5a1fcfde011aac0903;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:05.456
Её подбросило в воздух.;Она решила сделать сальто.;Девочка прыгнула на батут.;Что случилось в результате?;0;;0000b4a8a2--5e707ed5dddbf7012599ad43;0000b4a8a2--5e707d5a1fcfde011aac0903;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:05.456
Почта доставила письмо.;Почта ускорила доставку письма.;Я опустил письмо в почтовый ящик.;Что случилось в результате?;0;;0000b4a8a2--5e707ed5dddbf7012599ad43;0000b4a8a2--5e707d5a1fcfde011aac0903;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:05.456
Он поставил все свои деньги.;Он ушёл домой расстроенным.;Картёжник был уверен.;Что случилось в результате?;0;;0000b4a8a2--5e707ed5dddbf7012599ad43;0000b4a8a2--5e707d5a1fcfde011aac0903;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:05.456
Его почки плохо работают.;Его легкие перегружены.;Человек громко дышит.;Что стало причиной этого?;1;;0000b4a8a2--5e707ed7218d9b0125712b84;0000b4a8a2--5e707d5a1fcfde011aac08ee;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:07.408
Я спросил моего друга, как мне проехать туда.;Я спросил моего друга, хочет ли он поехать.;У меня был лишний билет на концерт.;Что случилось в результате?;1;;0000b4a8a2--5e707ed7218d9b0125712b84;0000b4a8a2--5e707d5a1fcfde011aac08ee;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:07.408
Я принёс одеяла.;Я открыл окна.;Кондиционер в доме сломался.;Что случилось в результате?;1;;0000b4a8a2--5e707ed7218d9b0125712b84;0000b4a8a2--5e707d5a1fcfde011aac08ee;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:07.408
Его рюкзак был открыт.;Его рюкзак был слишком тяжёл.;У мальчика болела спина.;Что стало причиной этого?;1;;0000b4a8a2--5e707ed7218d9b0125712b84;0000b4a8a2--5e707d5a1fcfde011aac08ee;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:07.408
Я испекла ей торт.;Это был её день рождения.;Я купила маме подарок.;Что стало причиной этого?;1;;0000b4a8a2--5e707ed7218d9b0125712b84;0000b4a8a2--5e707d5a1fcfde011aac08ee;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:07.408
Электричество в районе вырубилось.;Прогноз предсказывал сильный ветер.;Дерево упало на линию электропередач.;Что случилось в результате?;0;;0000b4a8a2--5e707edcd44ef1012bc131d7;0000b4a8a2--5e707d5a1fcfde011aac092f;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:12.339
Он наскучил публике.;Он оскорбил зрителей.;Спикер сделал ряд политически некорректных замечаний.;Что случилось в результате?;1;;0000b4a8a2--5e707edcd44ef1012bc131d7;0000b4a8a2--5e707d5a1fcfde011aac092f;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:12.339
Капля пота стекла по моему лицу.;Капли крови появилась на моем пальце.;Я уколол себя булавкой.;Что случилось в результате?;1;;0000b4a8a2--5e707edcd44ef1012bc131d7;0000b4a8a2--5e707d5a1fcfde011aac092f;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:12.339
Она была голодна.;Она была мертва.;Рыбка плавала у поверхности аквариума.;Что стало причиной этого?;0;;0000b4a8a2--5e707edcd44ef1012bc131d7;0000b4a8a2--5e707d5a1fcfde011aac092f;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:12.339
У него была простуда.;Он бросил курить.;Голос мужчины звучал хрипло.;Что стало причиной этого?;0;;0000b4a8a2--5e707edcd44ef1012bc131d7;0000b4a8a2--5e707d5a1fcfde011aac092f;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:12.339
У него был кошмар.;Он намочил постель.;Ребенок проснулся с криком.;Что стало причиной этого?;0;;0000b4a8a2--5e707edfe369f101187a144c;0000b4a8a2--5e707d5a1fcfde011aac0932;d8cea79050419507969cb3791c4ff027;APPROVED;2020-03-17T07:40:15.531
Его отец сел за стол.;Его отец прочёл ему наставление.;Мальчик положил ноги на стол.;Что случилось в результате?;1;;0000b4a8a2--5e707edfe369f101187a144c;0000b4a8a2--5e707d5a1fcfde011aac0932;d8cea79050419507969cb3791c4ff027;APPROVED;2020-03-17T07:40:15.531
Я прокричал его имя.;Я махал руками.;Мой друг повернул голову в мою сторону.;Что стало причиной этого?;0;;0000b4a8a2--5e707edfe369f101187a144c;0000b4a8a2--5e707d5a1fcfde011aac0932;d8cea79050419507969cb3791c4ff027;APPROVED;2020-03-17T07:40:15.531
Граждане устроили бунт.;Граждане зарегистрировались для голосования.;Правительство притесняет своих граждан.;Что случилось в результате?;0;;0000b4a8a2--5e707edfe369f101187a144c;0000b4a8a2--5e707d5a1fcfde011aac0932;d8cea79050419507969cb3791c4ff027;APPROVED;2020-03-17T07:40:15.531
Он разбил палатку.;Он стал звать на помощь.;Мальчик заблудился в лесу.;Что случилось в результате?;1;;0000b4a8a2--5e707edfe369f101187a144c;0000b4a8a2--5e707d5a1fcfde011aac0932;d8cea79050419507969cb3791c4ff027;APPROVED;2020-03-17T07:40:15.531
Я перевернул бутылку.;Я открутил крышку.;Бутылка газировки зашипела.;Что стало причиной этого?;1;;0000b4a8a2--5e707ee01de93a011fc87fc7;0000b4a8a2--5e707d5a1fcfde011aac091a;3c151aae56609e755d84f1caed80196e;APPROVED;2020-03-17T07:40:16.620
Он ускользнул через открытое окно.;Он выбрался на крышу.;Мальчика заперли дома.;Что случилось в результате?;0;;0000b4a8a2--5e707ee01de93a011fc87fc7;0000b4a8a2--5e707d5a1fcfde011aac091a;3c151aae56609e755d84f1caed80196e;APPROVED;2020-03-17T07:40:16.620
Посетитель постучал молотком в дверь.;Женщина выглянула наружу через замочную скважину.;Раздался звонок в дверь.;Что случилось в результате?;1;;0000b4a8a2--5e707ee01de93a011fc87fc7;0000b4a8a2--5e707d5a1fcfde011aac091a;3c151aae56609e755d84f1caed80196e;APPROVED;2020-03-17T07:40:16.620
Он отнёс костюм в химчистку.;Он повесил костюм в шкаф;Мужчина поставил пятно на свой костюм.;Что случилось в результате?;0;;0000b4a8a2--5e707ee01de93a011fc87fc7;0000b4a8a2--5e707d5a1fcfde011aac091a;3c151aae56609e755d84f1caed80196e;APPROVED;2020-03-17T07:40:16.620
Зубная паста выползла из тюбика.;Девушка выплюнула зубную пасту.;Девушка надавила на тюбик зубной пасты.;Что случилось в результате?;0;;0000b4a8a2--5e707ee01de93a011fc87fc7;0000b4a8a2--5e707d5a1fcfde011aac091a;3c151aae56609e755d84f1caed80196e;APPROVED;2020-03-17T07:40:16.620
Я отметил встречу в календаре.;Начался новый месяц.;Я перевернул страницу на календаре.;Что стало причиной этого?;1;;0000b4a8a2--5e707ee14c82190116b9a037;0000b4a8a2--5e707d5a1fcfde011aac0916;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:40:17.072
Он уволил своего адвоката.;Он подал на развод.;Муж обнаружил, что у его жены был роман.;Что случилось в результате?;1;;0000b4a8a2--5e707ee14c82190116b9a037;0000b4a8a2--5e707d5a1fcfde011aac0916;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:40:17.072
Мяч отскочил.;Мяч засиял.;Девушка бросила резиновый мяч.;Что случилось в результате?;0;;0000b4a8a2--5e707ee14c82190116b9a037;0000b4a8a2--5e707d5a1fcfde011aac0916;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:40:17.072
Она угадала верный ответ.;Она стёрла свой ответ.;Девушка ошиблась на экзамене.;Что случилось в результате?;1;;0000b4a8a2--5e707ee14c82190116b9a037;0000b4a8a2--5e707d5a1fcfde011aac0916;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:40:17.072
Его противник поймал передачу.;Его противник упал на землю.;Игрок схватил своего противника.;Что случилось в результате?;1;;0000b4a8a2--5e707ee14c82190116b9a037;0000b4a8a2--5e707d5a1fcfde011aac0916;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:40:17.072
Она пошла в библиотеку.;Она смотрела на звезды.;Девушка хотела узнать о Солнечной системе.;Что случилось в результате?;0;;0000b4a8a2--5e707ee1aedc8301261cb61b;0000b4a8a2--5e707d5a1fcfde011aac090d;62ade28ebf09132414a88d148e149eb0;APPROVED;2020-03-17T07:40:17.890
Я расположил плакат над дверью.;Я прилепил клейкую ленту к задней части плаката.;Плакат приклеился к стене.;Что стало причиной этого?;1;;0000b4a8a2--5e707ee1aedc8301261cb61b;0000b4a8a2--5e707d5a1fcfde011aac090d;62ade28ebf09132414a88d148e149eb0;APPROVED;2020-03-17T07:40:17.890
Архитектор построил здание.;Архитектор скорректировал план.;Клиент утвердил архитектору план строительства.;Что случилось в результате?;0;;0000b4a8a2--5e707ee1aedc8301261cb61b;0000b4a8a2--5e707d5a1fcfde011aac090d;62ade28ebf09132414a88d148e149eb0;APPROVED;2020-03-17T07:40:17.890
Его рука дрожала.;Он облизал ложку.;Мужчина отложил свою ложку.;Что стало причиной этого?;1;;0000b4a8a2--5e707ee1aedc8301261cb61b;0000b4a8a2--5e707d5a1fcfde011aac090d;62ade28ebf09132414a88d148e149eb0;APPROVED;2020-03-17T07:40:17.890
Совет директоров компании был распущен.;Совет директоров нашёл ему замену.;Генеральный директор компании подал в отставку.;Что случилось в результате?;1;;0000b4a8a2--5e707ee1aedc8301261cb61b;0000b4a8a2--5e707d5a1fcfde011aac090d;62ade28ebf09132414a88d148e149eb0;APPROVED;2020-03-17T07:40:17.890
У него был кошмар.;Он намочил постель.;Ребенок проснулся с криком.;Что стало причиной этого?;0;;0000b4a8a2--5e707ee2c83df801277aee54;0000b4a8a2--5e707d5a1fcfde011aac0932;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:18.040
Его отец сел за стол.;Его отец прочёл ему наставление.;Мальчик положил ноги на стол.;Что случилось в результате?;1;;0000b4a8a2--5e707ee2c83df801277aee54;0000b4a8a2--5e707d5a1fcfde011aac0932;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:18.040
Я прокричал его имя.;Я махал руками.;Мой друг повернул голову в мою сторону.;Что стало причиной этого?;1;;0000b4a8a2--5e707ee2c83df801277aee54;0000b4a8a2--5e707d5a1fcfde011aac0932;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:18.040
Граждане устроили бунт.;Граждане зарегистрировались для голосования.;Правительство притесняет своих граждан.;Что случилось в результате?;0;;0000b4a8a2--5e707ee2c83df801277aee54;0000b4a8a2--5e707d5a1fcfde011aac0932;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:18.040
Он разбил палатку.;Он стал звать на помощь.;Мальчик заблудился в лесу.;Что случилось в результате?;1;;0000b4a8a2--5e707ee2c83df801277aee54;0000b4a8a2--5e707d5a1fcfde011aac0932;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:18.040
Я перевернул бутылку.;Я открутил крышку.;Бутылка газировки зашипела.;Что стало причиной этого?;1;;0000b4a8a2--5e707ee4c29596012313393e;0000b4a8a2--5e707d5a1fcfde011aac091a;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:40:20.151
Он ускользнул через открытое окно.;Он выбрался на крышу.;Мальчика заперли дома.;Что случилось в результате?;0;;0000b4a8a2--5e707ee4c29596012313393e;0000b4a8a2--5e707d5a1fcfde011aac091a;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:40:20.151
Посетитель постучал молотком в дверь.;Женщина выглянула наружу через замочную скважину.;Раздался звонок в дверь.;Что случилось в результате?;1;;0000b4a8a2--5e707ee4c29596012313393e;0000b4a8a2--5e707d5a1fcfde011aac091a;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:40:20.151
Он отнёс костюм в химчистку.;Он повесил костюм в шкаф;Мужчина поставил пятно на свой костюм.;Что случилось в результате?;0;;0000b4a8a2--5e707ee4c29596012313393e;0000b4a8a2--5e707d5a1fcfde011aac091a;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:40:20.151
Зубная паста выползла из тюбика.;Девушка выплюнула зубную пасту.;Девушка надавила на тюбик зубной пасты.;Что случилось в результате?;0;;0000b4a8a2--5e707ee4c29596012313393e;0000b4a8a2--5e707d5a1fcfde011aac091a;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:40:20.151
Его осветили вспышки камер.;Его семья присутствовала на пресс-конференции.;Общественный деятель вышел из лимузина.;Что случилось в результате?;0;;0000b4a8a2--5e707eed6c8de8499682fcd5;0000b4a8a2--5e707d5a1fcfde011aac08f2;f9324fe2e450038528d3b0accb191ebc;APPROVED;2020-03-17T07:40:29.831
Вода остыла.;Воду слили из ванны.;Женщина отдыхала в ванне слишком долго.;Что случилось в результате?;0;;0000b4a8a2--5e707eed6c8de8499682fcd5;0000b4a8a2--5e707d5a1fcfde011aac08f2;f9324fe2e450038528d3b0accb191ebc;APPROVED;2020-03-17T07:40:29.831
Он вступил в братство.;Он специализировался в области машиностроения.;Студент колледжа хотел познакомиться с другими студентами в кампусе.;Что случилось в результате?;0;;0000b4a8a2--5e707eed6c8de8499682fcd5;0000b4a8a2--5e707d5a1fcfde011aac08f2;f9324fe2e450038528d3b0accb191ebc;APPROVED;2020-03-17T07:40:29.831
Я искал мелочь.;Я убирал гостиную.;Я перевернул диванные подушки.;Что стало причиной этого?;1;;0000b4a8a2--5e707eed6c8de8499682fcd5;0000b4a8a2--5e707d5a1fcfde011aac08f2;f9324fe2e450038528d3b0accb191ebc;APPROVED;2020-03-17T07:40:29.831
Мальчик убежал.;Мальчик сорвал цветок.;Оса полетела в сторону мальчика.;Что случилось в результате?;0;;0000b4a8a2--5e707eed6c8de8499682fcd5;0000b4a8a2--5e707d5a1fcfde011aac08f2;f9324fe2e450038528d3b0accb191ebc;APPROVED;2020-03-17T07:40:29.831
Мяч оказался в лунке.;Мяч откатился обратно к игроку.;Игрок направил мяч в лунку.;Что случилось в результате?;0;;0000b4a8a2--5e707eefdddbf7012599adfa;0000b4a8a2--5e707d5a1fcfde011aac08ef;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:40:31.569
Я икнул.;Я чихнул.;Я надышался пыли на чердаке.;Что случилось в результате?;1;;0000b4a8a2--5e707eefdddbf7012599adfa;0000b4a8a2--5e707d5a1fcfde011aac08ef;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:40:31.569
Покупатель дал ей фальшивые деньги.;Покупатель забыл выключить фары.;Кассир вызвала охрану.;Что стало причиной этого?;0;;0000b4a8a2--5e707eefdddbf7012599adfa;0000b4a8a2--5e707d5a1fcfde011aac08ef;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:40:31.569
От мусора плохо пахло на кухне.;Я случайно выбросила мой список покупок.;Я вынесла мусор.;Что стало причиной этого?;0;;0000b4a8a2--5e707eefdddbf7012599adfa;0000b4a8a2--5e707d5a1fcfde011aac08ef;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:40:31.569
Дети любовались животными.;Дети преследовали животных.;Семья пошла в зоопарк.;Что случилось в результате?;0;;0000b4a8a2--5e707eefdddbf7012599adfa;0000b4a8a2--5e707d5a1fcfde011aac08ef;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:40:31.569
Он нёс рюкзак.;Он был в неоновом жилете.;Человек выделялся в толпе.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef0aedc8301261cb686;0000b4a8a2--5e707d5a1fcfde011aac08fb;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:32.353
Он закончил свои показания.;Он был обвинён в лжесвидетельстве.;Свидетель солгал под присягой.;Что случилось в результате?;1;;0000b4a8a2--5e707ef0aedc8301261cb686;0000b4a8a2--5e707d5a1fcfde011aac08fb;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:32.353
Она хотела обновить свой образ.;Она хотела слиться с толпой.;Женщина покрасила волосы.;Что стало причиной этого?;0;;0000b4a8a2--5e707ef0aedc8301261cb686;0000b4a8a2--5e707d5a1fcfde011aac08fb;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:32.353
Они нашли работу.;Они были депортированы.;Нелегально проживающие в стране иммигранты были пойманы.;Что случилось в результате?;1;;0000b4a8a2--5e707ef0aedc8301261cb686;0000b4a8a2--5e707d5a1fcfde011aac08fb;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:32.353
Зрители смеялись.;Весь зал встал.;Оратор пошутил.;Что случилось в результате?;0;;0000b4a8a2--5e707ef0aedc8301261cb686;0000b4a8a2--5e707d5a1fcfde011aac08fb;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:40:32.353
Я отметил встречу в календаре.;Начался новый месяц.;Я перевернул страницу на календаре.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef2942cf601266235c8;0000b4a8a2--5e707d5a1fcfde011aac0916;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:40:34.321
Он уволил своего адвоката.;Он подал на развод.;Муж обнаружил, что у его жены был роман.;Что случилось в результате?;1;;0000b4a8a2--5e707ef2942cf601266235c8;0000b4a8a2--5e707d5a1fcfde011aac0916;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:40:34.321
Мяч отскочил.;Мяч засиял.;Девушка бросила резиновый мяч.;Что случилось в результате?;0;;0000b4a8a2--5e707ef2942cf601266235c8;0000b4a8a2--5e707d5a1fcfde011aac0916;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:40:34.321
Она угадала верный ответ.;Она стёрла свой ответ.;Девушка ошиблась на экзамене.;Что случилось в результате?;1;;0000b4a8a2--5e707ef2942cf601266235c8;0000b4a8a2--5e707d5a1fcfde011aac0916;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:40:34.321
Его противник поймал передачу.;Его противник упал на землю.;Игрок схватил своего противника.;Что случилось в результате?;1;;0000b4a8a2--5e707ef2942cf601266235c8;0000b4a8a2--5e707d5a1fcfde011aac0916;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:40:34.321
Она бежала по террасе у бассейна.;Она спрыгнула с трамплина.;Девушка нырнула в бассейн.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef4b918b9011655c959;0000b4a8a2--5e707d5a1fcfde011aac093d;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:36.933
Это был день премьеры фильма.;Фильм получил плохие отзывы.;Билеты в кино были распроданы.;Что стало причиной этого?;0;;0000b4a8a2--5e707ef4b918b9011655c959;0000b4a8a2--5e707d5a1fcfde011aac093d;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:36.933
Люди изолировали его.;Люди хвалили его.;Человек потерял вес.;Что случилось в результате?;1;;0000b4a8a2--5e707ef4b918b9011655c959;0000b4a8a2--5e707d5a1fcfde011aac093d;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:36.933
Она писала письмо.;Она забралась вверх по верёвке.;Руки девушки покрылись волдырями.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef4b918b9011655c959;0000b4a8a2--5e707d5a1fcfde011aac093d;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:36.933
Зрители закричали в изумлении.;Акробат качнулся на трапеции.;Этот циркач жонглировал во время езды на одноколёсном велосипеде.;Что случилось в результате?;0;;0000b4a8a2--5e707ef4b918b9011655c959;0000b4a8a2--5e707d5a1fcfde011aac093d;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:40:36.933
Я переработал бумагу.;Бумага помята.;Я сложил бумагу.;Что случилось в результате?;1;;0000b4a8a2--5e707ef6889638012733c828;0000b4a8a2--5e707d5a1fcfde011aac090a;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:38.874
Лидеры других стран сформировали союз.;Лидеры других стран направили помощь.;Страна пережила стихийное бедствие.;Что случилось в результате?;1;;0000b4a8a2--5e707ef6889638012733c828;0000b4a8a2--5e707d5a1fcfde011aac090a;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:38.874
Он выбрался из бассейна.;Он упал в бассейн.;Одежда мальчика промокла.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef6889638012733c828;0000b4a8a2--5e707d5a1fcfde011aac090a;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:38.874
Её нужно было вернуть в библиотеку.;Он одолжил её у друга.;Студент спешил закончить книгу.;Что стало причиной этого?;0;;0000b4a8a2--5e707ef6889638012733c828;0000b4a8a2--5e707d5a1fcfde011aac090a;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:38.874
Он был брошен в тюрьму.;Он был осуждён за убийство.;Преступника казнили.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef6889638012733c828;0000b4a8a2--5e707d5a1fcfde011aac090a;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:40:38.874
Он нёс рюкзак.;Он был в неоновом жилете.;Человек выделялся в толпе.;Что стало причиной этого?;1;;0000b4a8a2--5e707ef84c82190116b9a16a;0000b4a8a2--5e707d5a1fcfde011aac08fb;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:40.943
Он закончил свои показания.;Он был обвинён в лжесвидетельстве.;Свидетель солгал под присягой.;Что случилось в результате?;1;;0000b4a8a2--5e707ef84c82190116b9a16a;0000b4a8a2--5e707d5a1fcfde011aac08fb;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:40.943
Она хотела обновить свой образ.;Она хотела слиться с толпой.;Женщина покрасила волосы.;Что стало причиной этого?;0;;0000b4a8a2--5e707ef84c82190116b9a16a;0000b4a8a2--5e707d5a1fcfde011aac08fb;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:40.943
Они нашли работу.;Они были депортированы.;Нелегально проживающие в стране иммигранты были пойманы.;Что случилось в результате?;1;;0000b4a8a2--5e707ef84c82190116b9a16a;0000b4a8a2--5e707d5a1fcfde011aac08fb;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:40.943
Зрители смеялись.;Весь зал встал.;Оратор пошутил.;Что случилось в результате?;0;;0000b4a8a2--5e707ef84c82190116b9a16a;0000b4a8a2--5e707d5a1fcfde011aac08fb;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:40:40.943
Его осветили вспышки камер.;Его семья присутствовала на пресс-конференции.;Общественный деятель вышел из лимузина.;Что случилось в результате?;0;;0000b4a8a2--5e707ef8a219390127500d44;0000b4a8a2--5e707d5a1fcfde011aac08f2;489ee55c055fbb8036837db4bb394745;APPROVED;2020-03-17T07:40:40.795
Вода остыла.;Воду слили из ванны.;Женщина отдыхала в ванне слишком долго.;Что случилось в результате?;0;;0000b4a8a2--5e707ef8a219390127500d44;0000b4a8a2--5e707d5a1fcfde011aac08f2;489ee55c055fbb8036837db4bb394745;APPROVED;2020-03-17T07:40:40.795
Он вступил в братство.;Он специализировался в области машиностроения.;Студент колледжа хотел познакомиться с другими студентами в кампусе.;Что случилось в результате?;0;;0000b4a8a2--5e707ef8a219390127500d44;0000b4a8a2--5e707d5a1fcfde011aac08f2;489ee55c055fbb8036837db4bb394745;APPROVED;2020-03-17T07:40:40.795
